;variable;localidad;year_start;year_end;mean;std;n;confidence_level;ci_lower;ci_upper
2020;PM25;USME;2020;2023;18.41291958473227;10.169409464533135;45391;90%;18.33440560717;18.491433562294535
2021;PM25;USME;2020;2023;18.41291958473227;10.169409464533135;45391;99%;18.289964582612352;18.535874586852184
2022;PM25;USME;2021;2021;15.702584651435274;7.10584286751964e-15;8551;95%;15.702584651435274;15.702584651435274
2023;PM25;USME;2021;2021;15.702584651435274;7.10584286751964e-15;8551;90%;15.702584651435274;15.702584651435274
2024;PM25;USME;2021;2021;15.702584651435274;7.10584286751964e-15;8551;99%;15.702584651435274;15.702584651435274
2025;PM25;USME;2021;2022;14.785996170585811;7.649781423735408;16891;95%;14.670624133824896;14.901368207346726
2026;PM25;USME;2021;2022;14.785996170585811;7.649781423735408;16891;90%;14.689174533162747;14.882817808008875
2027;PM25;USME;2021;2022;14.785996170585811;7.649781423735408;16891;99%;14.634365342553446;14.937626998618176
2028;PM25;USME;2021;2023;13.878243853682065;8.393322670963412;25330;95%;13.774876078471706;13.981611628892423
2029;PM25;USME;2021;2023;13.878243853682065;8.393322670963412;25330;90%;13.791495854743403;13.964991852620727
2030;PM25;USME;2021;2023;13.878243853682065;8.393322670963412;25330;99%;13.74239182367546;14.01409588368867
2031;PM25;USME;2022;2022;13.84621822097625;10.806537183361915;8340;95%;13.614257388900143;14.078179053052356
2032;PM25;USME;2022;2022;13.84621822097625;10.806537183361915;8340;90%;13.651557184065245;14.040879257887253
2033;PM25;USME;2022;2022;13.84621822097625;10.806537183361915;8340;99%;13.541344478029652;14.151091963922847
2034;PM25;USME;2022;2023;12.948513943580888;10.187802173029823;16779;95%;12.794352102474884;13.102675784686893
2035;PM25;USME;2022;2023;12.948513943580888;10.187802173029823;16779;90%;12.819139438045264;13.077888449116513
2036;PM25;USME;2022;2023;12.948513943580888;10.187802173029823;16779;99%;12.745902507334105;13.151125379827672
2037;PM25;USME;2023;2023;12.061340857495178;9.454226788083515;8439;95%;11.859601369641066;12.263080345349291
2038;PM25;USME;2023;2023;12.061340857495178;9.454226788083515;8439;90%;11.892041440717671;12.230640274272686
2039;PM25;USME;2023;2023;12.061340857495178;9.454226788083515;8439;99%;11.79618828082729;12.326493434163067
2040;SO2;TODAS;2020;2020;5.12190490788168;5.806462665403801;104800;95%;5.086750150623268;5.157059665140092
2041;SO2;TODAS;2020;2020;5.12190490788168;5.806462665403801;104800;90%;5.092402185512101;5.151407630251259
2042;SO2;TODAS;2020;2020;5.12190490788168;5.806462665403801;104800;99%;5.075703417418724;5.168106398344635
2043;SO2;TODAS;2020;2021;5.2297601213955565;6.992307189293441;201210;95%;5.19920764461938;5.260312598171733
2044;SO2;TODAS;2020;2021;5.2297601213955565;6.992307189293441;201210;90%;5.204119710802991;5.255400531988122
2045;SO2;TODAS;2020;2021;5.2297601213955565;6.992307189293441;201210;99%;5.189607221268193;5.26991302152292
2046;SO2;TODAS;2020;2022;4.977154984155216;6.492983178169257;288991;95%;4.953482053344925;5.000827914965506
2047;SO2;TODAS;2020;2022;4.977154984155216;6.492983178169257;288991;90%;4.957288053870982;4.99702191443945
2048;SO2;TODAS;2020;2022;4.977154984155216;6.492983178169257;288991;99%;4.9460434041879315;5.0082665641225
2049;SO2;TODAS;2020;2023;4.809745907251041;6.386929835358186;391530;95%;4.789739962893516;4.829751851608566
2050;SO2;TODAS;2020;2023;4.809745907251041;6.386929835358186;391530;90%;4.792956401663694;4.826535412838388
2051;SO2;TODAS;2020;2023;4.809745907251041;6.386929835358186;391530;99%;4.783453592675792;4.83603822182629
2052;SO2;TODAS;2021;2021;5.347001345088684;8.08483996770639;96410;95%;5.2959668373803455;5.398035852797023
2053;SO2;TODAS;2021;2021;5.347001345088684;8.08483996770639;96410;90%;5.304171962252815;5.389830727924553
2054;SO2;TODAS;2021;2021;5.347001345088684;8.08483996770639;96410;99%;5.279930146979069;5.4140725431983
2055;SO2;TODAS;2021;2022;4.894795954634048;6.851616980679189;184191;95%;4.863505648003117;4.926086261264978
2056;SO2;TODAS;2021;2022;4.894795954634048;6.851616980679189;184191;90%;4.868536342006424;4.921055567261671
2057;SO2;TODAS;2021;2022;4.894795954634048;6.851616980679189;184191;99%;4.853673365154871;4.935918544113224
2058;SO2;TODAS;2021;2023;4.695651591113592;6.582653716472059;286730;95%;4.671557288178248;4.719745894048935
2059;SO2;TODAS;2021;2023;4.695651591113592;6.582653716472059;286730;90%;4.675431034698735;4.715872147528448
